smiles,pLogS
CC(C)Oc1cc(Nc2nc(NCc3ccc(F)cc3)ncc2Cl)n[nH]1,5.39794000867204
N#Cc1cc(F)cc(-n2nnc(-c3ccc(F)cn3)n2)c1,5.36653154442041
OC[C@H](O)CNc1nc(NCc2ccc(F)cc2)nc(Nc2cc(C3CC3)[nH]n2)c1Cl,4.72124639904717
N#Cc1cc(F)cc(-n2nnc(-c3ccccn3)n2)c1,4.36653154442041
OC[C@H](Nc1nc(NCCN2CCOCC2)c(Cl)c(Nc2cc(C3CC3)[nH]n2)n1)c1ccc(F)cc1,4.34678748622466
CO[C@H]1C[C@H](C)[C@@H](OC)C2=CC(=O)C=C(NC(=O)/C(C)=C/C=C[C@H](C)[C@@H](OC(N)=O)/C(C)=C/[C@H](C)[C@H]1OC)C2=O,4.09151498112135
OCC(CO)Nc1nc(NCc2ccc(F)cc2)nc(Nc2cc(C3CC3)[nH]n2)c1Cl,4.08618614761628
CC(C)Oc1cc(Nc2nc(NCc3ccc(F)cc3)nc(NC(CO)CO)c2Cl)n[nH]1,4.08618614761628
CC(C)Oc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)ncc2Cl)n[nH]1,4.0
C[C@H](Nc1ncc(Cl)c(Nc2cc(C3CC3)[nH]n2)n1)c1ccc(F)cn1,3.74472749489669
C[C@H](Nc1ncc(F)c(Nc2cc(C3CC3)[nH]n2)n1)c1ccc(F)cn1,3.69897000433602
OC[C@H](O)CNc1cc(Nc2cc(C3CC3)[nH]n2)nc(NCc2ccc(F)cc2)n1,3.67778070526608
CC(C)Oc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)nc(OC(CO)CO)c2Cl)n[nH]1,3.50863830616573
CC(C)Oc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)n[nH]1,3.35654732351381
CC(C)Oc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)nc(NC[C@@H](O)CO)c2Cl)n[nH]1,3.32790214206428
Cc1cc(Nc2cc(NC[C@@H](O)CO)nc(NCc3ccc(F)cc3)n2)n[nH]1,3.18976748200492
Cc1ccc2cc(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)ccc2n1,5.22184874961636
Nc1nc2c(cnn2CCN2CCc3ccc(Br)cc3CC2)c2nc(-c3ccco3)nn12,5.22184874961636
COCCOCc1ccc2cc(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)ccc2n1,4.92081875395237
COc1cc2c(cc1OC)C(Cc1ccccc1)N(CCn1ncc3c1nc(N)n1nc(-c4ccco4)nc31)CC2,4.92081875395237
Nc1nc2c(cnn2CCc2cccc(-c3cccnc3)c2)c2nc(-c3ccco3)nn12,4.60205999132796
COc1ccc2c(c1)CCN(CCn1ncc3c1nc(N)n1nc(-c4ccco4)nc31)C2,4.60205999132796
Nc1nc2c(cnn2CCc2ccc3nc(CN4CCOCC4)ccc3c2)c2nc(-c3ccco3)nn12,4.43179827593301
Nc1nc2c(cnn2CCN2Cc3ccccc3C2)c2nc(-c3ccco3)nn12,4.43179827593301
COc1ccc2c(c1)CN(CCn1ncc3c1nc(N)n1nc(-c4ccco4)nc31)C2,4.43179827593301
COc1cc2c(cc1OC)CN(CCn1ncc3c1nc(N)n1nc(-c4ccco4)nc31)C(C)C2,4.43179827593301
COCCOc1cccc2c1CN(CCn1ncc3c1nc(N)n1nc(-c4ccco4)nc31)CC2,4.43179827593301
COc1ccc2c(c1)CN(CCn1ncc3c1nc(N)n1nc(-c4ccco4)nc31)CC2,4.43179827593301
Nc1nc2c(cnn2CCN2CCc3ncc(Br)cc3C2)c2nc(-c3ccco3)nn12,4.43179827593301
Nc1nc2c(cnn2CCN2CCc3nc(C(F)(F)F)ccc3C2)c2nc(-c3ccco3)nn12,4.43179827593301
Nc1nc2c(cnn2CCN2CCc3ccccc3C2)c2nc(-c3ccco3)nn12,4.30102999566398
COCCOc1ccc2c(c1)CN(CCn1ncc3c1nc(N)n1nc(-c4ccco4)nc31)CC2,4.30102999566398
COCCOc1cccc2c1CN(CCn1ncc3c1nc(N)n1nc(-c4ccco4)nc31)C2,4.1249387366083
Nc1nc2c(cnn2CCN2CCc3ncc(C4CC4)cc3C2)c2nc(-c3ccco3)nn12,4.1249387366083
Nc1nc2c(cnn2CCc2ccc3nc(C(=O)N4CCOCC4)ccc3c2)c2nc(-c3ccco3)nn12,4.0
CC(c1ccc2cc(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)ccc2n1)N1CCOCC1,4.0
Cc1cnc2c(c1)CN(CCn1ncc3c1nc(N)n1nc(-c4ccco4)nc31)CC2,4.0
COCCOc1cnc2c(c1)CN(CCn1ncc3c1nc(N)n1nc(-c4ccco4)nc31)CC2,3.75696195131371
Nc1nc2c(cnn2CCN2CCc3ncccc3C2)c2nc(-c3ccco3)nn12,3.60205999132796
Nc1nc2c(cnn2CCN2CCc3ncncc3C2)c2nc(-c3ccco3)nn12,3.60205999132796
COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1NCCN1CCOCC1,3.79588001734408
CN(CCO)C(=O)c1ccc(C(=C2CCN(Cc3cscn3)CC2)c2cccc3cccnc23)cc1,3.30102999566398
CN(C)c1ccc2c(c1)Sc1cc(N(C)C)ccc1N2,4.30102999566398
CN1CCC(Nc2ccc3nnc(-c4cccc(C(F)(F)F)c4)n3n2)CC1,3.69897000433602
O[C@H]1CC[C@H](Nc2ccc3nnc(-c4cccc(C(F)(F)F)c4)n3n2)CC1,3.76955107862173
CN(c1ccc2nnc(-c3cccc(C(F)(F)F)c3)n2n1)C1CCCCC1,6.52287874528034
CN1CCC(N(C)c2ccc3nnc(-c4cccc(C(F)(F)F)c4)n3n2)CC1,3.69897000433602
FC(F)(F)c1cccc(-c2nnc3ccc(NC4CCCCC4)nn23)c1,6.52287874528034
FC(F)(F)c1cccc(-c2nnc3ccc(NC4CCOCC4)nn23)c1,4.33724216831843
FC(F)(F)c1cccc(-c2nnc3ccc(NC4CCCNC4)nn23)c1,3.69897000433602
FC(F)(F)c1cccc(-c2nnc3ccc(NC4CCNCC4)nn23)c1,3.69897000433602
CC(C)N1Cc2cc(-c3cc(C(=O)NC4CCCC4)no3)cc(Cl)c2C1=O,5.45222529461218
CC(C)N1Cc2cc(-c3cc(C(=O)N4CCCC4)no3)cc(Cl)c2C1=O,5.447331783887809
Cc1cc(-c2cc(C(=O)N(C)C)no2)cc2c1C(=O)N([C@@H](C)C(F)(F)F)C2,5.36151074304536
CC(C)N(C)C(=O)c1cc(-c2cc(Cl)c3c(c2)CN([C@@H](C)C2CC2)C3=O)on1,5.33254704711005
C[C@@H](C1CC1)N1Cc2cc(-c3cc(C(=O)N4CCOCC4)no3)cc(Cl)c2C1=O,5.24108810760203
CNC(=O)c1cc(-c2cc(Cl)c3c(c2)CN([C@@H](C)C2CC2)C3=O)on1,5.16621562534352
C[C@H](N1Cc2cc(-c3cc(C(=O)N4CCOCC4)no3)cc(Cl)c2C1=O)C(F)(F)F,5.03058408764602
Cc1cc(-c2cc(C(N)=O)no2)cc2c1C(=O)N([C@@H](C)C1CC1)C2,5.02090709936167
Cc1cc(-c2cc(C(=O)N(C)C(C)C)no2)cc2c1C(=O)N([C@@H](C)C1CC1)C2,4.95078197732982
C[C@H](N1Cc2cc(-c3cc(C(=O)N(C)C)no3)cc(Cl)c2C1=O)C(F)(F)F,4.80966830182971
C[C@@H](C1CC1)N1Cc2cc(-c3cc(C(N)=O)no3)cc(Cl)c2C1=O,4.77989191195995
